feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8
2.5,5.2,8.1,3.4,6.7,4.2,7.8,9.1
3.1,5.8,8.5,3.8,7.2,4.6,8.2,9.5
2.8,5.5,8.3,3.6,6.9,4.4,8.0,9.3
3.4,6.1,8.8,4.1,7.5,4.9,8.5,9.8
2.2,4.9,7.8,3.1,6.4,3.9,7.5,8.8
3.7,6.4,9.1,4.4,7.8,5.2,8.8,10.1
2.9,5.6,8.4,3.7,7.0,4.5,8.1,9.4
3.2,5.9,8.6,3.9,7.3,4.7,8.3,9.6
2.6,5.3,8.2,3.5,6.8,4.3,7.9,9.2
3.5,6.2,8.9,4.2,7.6,5.0,8.6,9.9
2.3,5.0,7.9,3.2,6.5,4.0,7.6,8.9
3.8,6.5,9.2,4.5,7.9,5.3,8.9,10.2
2.7,5.4,8.2,3.5,6.8,4.3,7.9,9.2
3.3,6.0,8.7,4.0,7.4,4.8,8.4,9.7
2.4,5.1,8.0,3.3,6.6,4.1,7.7,9.0
